id,movie_id,actor_id
1,a_s1,8052
2,a_s1,56607
3,a_s1,20764
4,a_s2,36320
5,a_s2,472
6,a_s2,50588
7,a_s3,57909
8,a_s3,35144
9,a_s3,49109
10,a_s3,48449
11,a_s3,61147
12,a_s3,43385
13,a_s4,23490
14,a_s4,794
15,a_s4,7016
16,a_s4,8396
17,a_s4,11203
18,a_s4,62331
19,a_s5,21880
20,a_s5,31924
21,a_s5,20017
22,a_s5,2785
23,a_s5,2469
24,a_s5,20885
25,a_s5,7248
26,a_s5,38629
27,a_s6,21022
28,a_s6,29509
29,a_s6,8223
30,a_s6,39829
31,a_s7,2351
32,a_s7,34455
33,a_s7,47712
34,a_s7,13820
35,a_s7,25418
36,a_s7,55025
37,a_s7,45883
38,a_s7,50079
39,a_s7,25612
40,a_s7,48929
41,a_s7,31463
42,a_s7,54980
43,a_s7,29733
44,a_s7,18053
45,a_s7,27622
46,a_s7,17645
47,a_s7,14746
48,a_s7,44978
49,a_s7,25458
50,a_s7,20573
51,a_s7,43271
52,a_s7,10968
53,a_s8,29419
54,a_s8,334
55,a_s8,59199
56,a_s8,31157
57,a_s8,9393
58,a_s8,37478
59,a_s8,9359
60,a_s8,31588
61,a_s8,28539
62,a_s8,13788
63,a_s8,3534
64,a_s8,60469
65,a_s8,7811
66,a_s8,26695
67,a_s8,3188
68,a_s8,15089
69,a_s9,39898
70,a_s9,33767
71,a_s9,44821
72,a_s10,32317
73,a_s10,50986
74,a_s10,55159
75,a_s11,17289
76,a_s11,900
77,a_s11,19720
78,a_s11,26370
79,a_s11,8035
80,a_s11,8175
81,a_s11,35106
82,a_s11,60883
83,a_s11,39400
84,a_s11,47859
85,a_s11,17203
86,a_s11,20863
87,a_s12,34238
88,a_s12,31643
89,a_s12,41670
90,a_s13,3349
91,a_s13,20689
92,a_s13,14564
93,a_s13,53662
94,a_s13,13898
95,a_s14,47018
96,a_s14,36895
97,a_s14,52433
98,a_s14,15873
99,a_s14,38988
100,a_s14,61011
101,a_s14,9877
102,a_s14,62382
103,a_s14,25567
104,a_s14,57103
105,a_s14,59099
106,a_s15,17045
107,a_s15,45511
108,a_s15,29425
109,a_s15,9626
110,a_s16,27552
111,a_s16,24135
112,a_s16,3473
113,a_s16,45163
114,a_s16,29616
115,a_s16,17765
116,a_s16,54855
117,a_s16,31214
118,a_s16,35024
119,a_s16,58422
120,a_s16,7207
121,a_s16,16779
122,a_s17,37036
123,a_s17,30028
124,a_s17,3517
125,a_s18,41966
126,a_s19,62274
127,a_s20,18213
128,a_s20,35892
129,a_s20,57071
130,a_s20,40719
131,a_s20,47561
132,a_s20,11203
133,a_s20,38577
134,a_s20,4615
135,a_s22,1886
136,a_s22,6623
137,a_s22,12439
138,a_s22,17746
139,a_s23,20814
140,a_s23,38082
141,a_s24,196
142,a_s24,21375
143,a_s24,8874
144,a_s24,56015
145,a_s24,19403
146,a_s24,19397
147,a_s24,12611
148,a_s24,181
149,a_s25,42869
150,a_s25,29217
151,a_s25,17735
152,a_s25,27420
153,a_s25,60021
154,a_s25,309
155,a_s25,54920
156,a_s25,23062
157,a_s25,37515
158,a_s25,27155
159,a_s25,42575
160,a_s25,7477
161,a_s25,16752
162,a_s25,48419
163,a_s25,27736
164,a_s25,57187
165,a_s27,42129
166,a_s27,12500
167,a_s27,21667
168,a_s27,14658
169,a_s27,11281
170,a_s28,11237
171,a_s28,13873
172,a_s29,16707
173,a_s29,36884
174,a_s29,52188
175,a_s29,16564
176,a_s30,39815
177,a_s30,17211
178,a_s31,21017
179,a_s31,6566
180,a_s31,16236
181,a_s32,15367
182,a_s32,40446
183,a_s33,50814
184,a_s33,31052
185,a_s33,22868
186,a_s33,18153
187,a_s33,33676
188,a_s33,48811
189,a_s36,1895
190,a_s36,2111
191,a_s36,57856
192,a_s36,4250
193,a_s36,30715
194,a_s36,45472
195,a_s36,2941
196,a_s36,54034
197,a_s36,4299
198,a_s36,28092
199,a_s36,38930
200,a_s36,24261
201,a_s36,19987
202,a_s37,22494
203,a_s37,17409
204,a_s37,28819
205,a_s38,14087
206,a_s38,35525
207,a_s38,18481
208,a_s38,19880
209,a_s39,4177
210,a_s40,9564
211,a_s41,4404
212,a_s42,15803
213,a_s43,34713
214,a_s44,4404
215,a_s45,4404
216,a_s46,4404
217,a_s47,4404
218,a_s48,4404
219,a_s49,4404
220,a_s50,4404
221,a_s51,4404
222,a_s52,4404
223,a_s53,34598
224,a_s53,54794
225,a_s53,6891
226,a_s53,21818
227,a_s53,7244
228,a_s54,45989
229,a_s54,46849
230,a_s54,57334
231,a_s54,44918
232,a_s54,42134
233,a_s54,42148
234,a_s54,51655
235,a_s54,62196
236,a_s54,11203
237,a_s54,54887
238,a_s55,36588
239,a_s55,55338
240,a_s56,36588
241,a_s56,55338
242,a_s57,27294
243,a_s57,61001
244,a_s57,31667
245,a_s57,18887
246,a_s57,10115
247,a_s57,27204
248,a_s57,10134
249,a_s57,37100
250,a_s57,31249
251,a_s57,44589
252,a_s58,11490
253,a_s59,56446
254,a_s59,26158
255,a_s59,17545
256,a_s59,13901
257,a_s59,39681
258,a_s59,12383
259,a_s60,54770
260,a_s60,44623
261,a_s60,31984
262,a_s60,32954
263,a_s60,57894
264,a_s61,6306
265,a_s61,10741
266,a_s62,19738
267,a_s62,10220
268,a_s63,24213
269,a_s63,37114
270,a_s63,36881
271,a_s63,8574
272,a_s63,11259
273,a_s63,39872
274,a_s63,10607
275,a_s63,52875
276,a_s63,24986
277,a_s63,9142
278,a_s63,51019
279,a_s63,20628
280,a_s64,60166
281,a_s64,10149
282,a_s64,43907
283,a_s64,24660
284,a_s64,46877
285,a_s64,34422
286,a_s64,37633
287,a_s65,13968
288,a_s65,33872
289,a_s65,48876
290,a_s66,5057
291,a_s66,31495
292,a_s66,40884
293,a_s66,58057
294,a_s66,61672
295,a_s67,6459
296,a_s68,39622
297,a_s68,27904
298,a_s68,7587
299,a_s69,12848
300,a_s70,34410
301,a_s72,57329
302,a_s74,10307
303,a_s74,56623
304,a_s74,3763
305,a_s74,4311
306,a_s74,6936
307,a_s74,14855
308,a_s74,35007
309,a_s74,41077
310,a_s74,60275
311,a_s76,4585
312,a_s80,55680
313,a_s80,32700
314,a_s80,56884
315,a_s81,25909
316,a_s81,7536
317,a_s82,59428
318,a_s82,35341
319,a_s83,35651
320,a_s83,33732
321,a_s84,18174
322,a_s84,18792
323,a_s85,764
324,a_s85,22702
325,a_s85,52035
326,a_s85,30830
327,a_s85,17981
328,a_s85,14825
329,a_s85,48871
330,a_s85,40579
331,a_s85,25467
332,a_s85,50526
333,a_s85,32952
334,a_s85,5824
335,a_s85,28163
336,a_s85,30795
337,a_s85,38595
338,a_s85,56029
339,a_s85,16844
340,a_s85,8914
341,a_s85,5808
342,a_s85,43265
343,a_s85,25914
344,a_s85,32639
345,a_s86,39618
346,a_s87,17458
347,a_s87,28446
348,a_s87,26662
349,a_s88,24676
350,a_s88,28845
351,a_s88,31215
352,a_s89,8766
353,a_s89,16429
354,a_s90,28094
355,a_s90,46014
356,a_s90,34312
357,a_s90,15763
358,a_s90,33253
359,a_s90,50901
360,a_s90,7595
361,a_s90,16209
362,a_s90,28256
363,a_s90,39448
364,a_s90,11139
365,a_s90,24185
366,a_s90,5247
367,a_s90,58381
368,a_s90,61117
369,a_s90,22718
370,a_s90,22417
371,a_s90,22344
372,a_s90,34989
373,a_s90,24124
374,a_s90,11828
375,a_s90,41462
376,a_s90,11879
377,a_s90,8710
378,a_s90,5210
379,a_s90,20072
380,a_s90,8711
381,a_s90,18988
382,a_s90,27469
383,a_s91,38610
384,a_s91,26156
385,a_s91,11833
386,a_s91,24201
387,a_s91,54691
388,a_s91,47855
389,a_s91,42390
390,a_s91,24885
391,a_s91,49670
392,a_s93,28354
393,a_s94,60763
394,a_s95,60763
395,a_s96,46491
396,a_s96,30611
397,a_s97,8540
398,a_s97,16930
399,a_s97,8212
400,a_s98,58354
